tf	cell_line	fold	auc_roc	mcc	features	best_params
ATF3	H1	10	0.7121212121212122	0.2631806779839076	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.3, 'classifier__max_depth': 7, 'classifier__n_estimators': 300}
ATF3	HepG2	1	0.7026929114841202	0.36298820307509694	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 10, 'classifier__n_estimators': 200}
ATF3	HepG2	2	0.6662238860041058	0.2771455123227047	1mer	{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 300}
ATF3	HepG2	3	0.7247916918246589	0.3861103121875389	1mer	{'classifier__learning_rate': 0.3, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}
ATF3	HepG2	4	0.6516121241395967	0.2557925102245004	1mer	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}
ATF3	HepG2	5	0.6787827557058326	0.28573153847150773	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF3	HepG2	6	0.6982248520710059	0.29735033640325137	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 200}
ATF3	HepG2	7	0.6865112909068952	0.2861465445558278	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF3	HepG2	8	0.7081270377973675	0.2861465445558278	1mer	{'classifier__learning_rate': 0.3, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}
ATF3	HepG2	9	0.7798575051322304	0.44172610429938614	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF3	HepG2	10	0.7040212534718029	0.29735033640325137	1mer	{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 300}
ATF3	HepG2	1	0.7093346214225335	0.2549738713368883	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 10, 'classifier__n_estimators': 300}
ATF3	HepG2	2	0.7121120637604154	0.30785964799347976	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF3	HepG2	3	0.7535321821036107	0.4074800906266778	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF3	HepG2	4	0.6735901461176186	0.2418897234234484	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 5, 'classifier__n_estimators': 300}
